"xResponse","yResponse","PerceptualSharpness_1_mean","PerceptualSharpness_1_std","Loudness_1_mean","MFCC_2_std","ZCR_1_std","MFCC_1_std","Loudness_1_std","MFCC_2_mean","Energy_1_std","MFCC_3_mean","ZCR_1_mean","SpectralVariation_1_mean","Energy_1_mean","SpectralVariation_1_std","MFCC_3_std","MFCC_1_mean"
0.96,0.9766666667,2.187137411,0.4148450401,3.642663695,0.3853261662,0.1061730179,0.8209879737,1.3630004692,0.6869636868,0.0020054913,0.5442703957,0.125332919,0.1380961551,0.0015288651,0.0966707013,0.2606280733,1.8304707618
0.1233333333,0.9066666667,1.5992041608,0.0594605379,19.3275900155,0.2108369758,0.0133753821,0.2270039324,1.5577584908,0.3751209647,0.0047824906,0.8352418057,0.0611072887,0.1778120976,0.0271659851,0.062872731,0.2128983018,3.2201116638
0.6366666667,0.155,1.642719156,0.0805268313,19.8727227879,0.4124684848,0.0306419856,0.3241131726,2.5588019064,-0.6976373661,0.0099598739,0.4089177963,0.0811212713,0.1733678995,0.0297408533,0.0853488891,0.288352503,2.6013800026
0.2566666667,0.13,1.857935388,0.1627901857,19.1405609794,0.2690899009,0.0257964851,0.4347166694,4.3174794163,0.4521997223,0.0183080952,-0.0844190216,0.0734752308,0.1867973812,0.0297009338,0.0896862979,0.2615774929,2.9960246033
0.4516666667,0.1016666667,2.1476776473,0.0818076493,35.674810895,0.2696786372,0.024157229,0.2683140288,4.1549801677,-0.7262040412,0.0163438367,-0.7206416134,0.1616543857,0.1997248903,0.0698303142,0.0478097208,0.2817202808,2.3068488893
0.65,0.045,1.5644926657,0.1258372523,17.9857906131,0.398265433,0.0195576379,0.6580769943,6.2714972246,-1.3650639015,0.0231989577,0.0801023805,0.1164828214,0.1998175118,0.0235993321,0.0511391677,0.3201568258,3.060704091
0.4733333333,0.2266666667,1.6156369754,0.1361740203,18.6911080396,0.3985184032,0.0158926371,0.426061905,3.1509675256,0.4322369188,0.0157826153,0.4008660618,0.0357776989,0.0581794636,0.0403830936,0.0472371817,0.5295699381,3.4535308087
0.615,0.7383333333,1.7570018013,0.3633730086,5.4746951193,0.3935365529,0.0741623243,1.0399000804,1.7909167511,0.9955742229,0.0027949467,0.2794566641,0.0852994052,0.073696224,0.0035484451,0.0697619408,0.2826330986,3.1430912032
0.2183333333,0.0816666667,1.430523651,0.159144521,26.0888769267,0.301808224,0.0239038075,0.7686140078,8.6718056575,-1.197474852,0.0478646265,-0.1644869285,0.1000255238,0.0392076187,0.0736554121,0.036401367,0.2493021235,3.6966952986
0.2766666667,0.85,1.4019298692,0.0893865607,22.4443416723,0.3264201725,0.0190968754,0.3379713556,4.1438088561,-1.0581746201,0.0118090838,-0.3249895087,0.0637761896,0.1875120644,0.0398691087,0.0763786375,0.2431266554,4.0469814321
