3 1:20.3693708806 2:5.82155504397 3:0.848099410072 4:0.453087395751 5:0.567722456847 6:0.688991065099 7:0.288393474467 8:0.210945516332 9:-4.73392743009e-05 10:-0.0684293476106 11:0.0361036284401 12:0.147784694708 13:0.122822873324 14:-0.00950800164826 15:0.0931637325827 16:0.0819525708941 17:-0.0166440962662
3 1:35.7863892569 2:12.9835887134 3:0.786014534694 4:0.406702068091 5:0.782976273736 6:0.489005947247 7:0.260977030573 8:0.286429639025 9:-0.0903870356372 10:-0.0281920287051 11:0.150489825556 12:0.158006127015 13:0.137221091166 14:-0.0383272825008 15:0.0916060346981 16:0.0931491834048 17:0.000759973917661
3 1:27.7377531955 2:7.9766792825 3:0.704770060696 4:0.269807545307 5:0.911483714557 6:0.522693496426 7:0.374047014262 8:0.423359324294 9:0.360238010122 10:0.059781995433 11:0.225701562466 12:0.301646957547 13:0.291770531995 14:0.0273354363445 15:0.178771909091 16:0.137879602263 17:-0.0395059678253
3 1:42.2365430969 2:7.59021102369 3:0.784201432702 4:0.159182867896 5:0.529964540309 6:0.44271672196 7:0.164792937002 8:0.1514779475 9:0.139560939112 10:-0.160904879349 11:0.196586889594 12:0.12544672216 13:0.130341120516 14:0.2749736803 15:0.0843972695883 16:0.114321980514 17:-0.0375097258389
3 1:19.0352282323 2:4.67961198096 3:0.814215026333 4:0.182333699957 5:0.545914610094 6:0.577342619911 7:0.250814284003 8:0.204568537054 9:0.0469851016493 10:0.117448663145 11:-0.0681616201988 12:0.155751463689 13:0.168025651989 14:-0.0264541700079 15:0.108059691005 16:0.0904729997072 17:-0.0137172740765
3 1:18.8867789091 2:2.70602132319 3:0.754372741194 4:0.10884507471 5:0.700646546771 6:0.519344233721 7:0.255806919948 8:0.277229202715 9:-0.24461554058 10:-0.216085187189 11:0.236444242453 12:0.227324009056 13:0.149914878131 14:0.0798292304556 15:0.0956703867647 16:0.147012948732 17:-0.0837733629128
3 1:25.7377455935 2:3.2704264859 3:0.809281381669 4:0.172916101601 5:0.421689560447 6:0.247207707764 7:0.198789679638 8:0.216319838984 9:0.0568985113283 10:0.0711732532088 11:0.0631855054519 12:0.136043496528 13:0.123228200041 14:-0.0574702755905 15:0.0939434200112 16:0.0884941515379 17:-0.0196156390471
3 1:35.9635822437 2:7.73411120455 3:0.815924593396 4:0.313579946129 5:0.492461551123 6:0.387452812954 7:0.195030437518 8:0.231887872832 9:0.103765253143 10:0.121055010305 11:-0.113961354345 12:0.135789707424 13:0.140674130805 14:0.0698237065697 15:0.0856918875802 16:0.0801868915974 17:0.0394010733433
3 1:45.9717970579 2:5.04560173994 3:0.807979615376 4:0.222492678334 5:0.615968794312 6:0.301231392516 7:0.197625321242 8:0.223244458484 9:-0.30633634154 10:0.111120281471 11:0.0205968773174 12:0.155696956948 13:0.122535468868 14:0.00265209435398 15:0.0959249210777 16:0.0779724144998 17:-0.0331025277221
3 1:11.5872480791 2:5.79351467313 3:0.738400509735 4:0.381714242783 5:1.30434906216 6:0.465247472958 7:0.240182937254 8:0.228415095251 9:-0.0234592309615 10:0.124567083572 11:0.0319387849553 12:0.256974990744 13:0.296779850414 14:-0.0266948093734 15:0.148603209841 16:0.139682944986 17:-0.036147949315
3 1:28.736554032 2:6.28145570812 3:0.841596118983 4:0.184882511437 5:0.797783307225 6:0.390473490493 7:0.209280974755 8:0.217178950048 9:0.164464619926 10:-0.0579819635963 11:0.0375649160005 12:0.176306100995 13:0.187435196525 14:-0.0305853490432 15:0.110863877142 16:0.118046233011 17:0.00615542134785
3 1:33.3802708755 2:2.89511926056 3:0.769482338996 4:0.109066472635 5:0.369355930057 6:0.210231222281 7:0.24390779308 8:0.261605373698 9:-0.0394310467543 10:-0.228995037272 11:-0.191383760333 12:0.156354276103 13:0.118005679348 14:0.122289579942 15:0.0793024593359 16:0.085723517893 17:-0.00721614844905
3 1:31.8295956693 2:9.4155808453 3:0.83723572039 4:0.324395116421 5:0.430030009154 6:0.376873591393 7:0.217749880213 8:0.212561566178 9:-0.0968348577761 10:0.0425378127228 11:0.0244233017126 12:0.143452290048 13:0.141373400402 14:0.0274201813501 15:0.0889927583669 16:0.0837801882026 17:-0.0219089874239
3 1:31.5467877082 2:2.17444223369 3:0.813944740312 4:0.152288954018 5:0.366972458728 6:0.194574460371 7:0.146931924862 8:0.158122588365 9:0.257455184939 10:0.572276292941 11:0.145626034559 12:0.136322991928 13:0.166850838393 14:-0.137628807422 15:0.0877468092583 16:0.0804028349768 17:0.0104880043876
3 1:47.2270365897 2:6.78442833149 3:0.861417416699 4:0.213234726901 5:0.422987654956 6:0.280860492842 7:0.225573875091 8:0.196969318004 9:0.15115979443 10:-0.0646065312966 11:0.0815812395407 12:0.139136812825 13:0.119807141906 14:-0.0338708605845 15:0.0795444918156 16:0.0771942018603 17:-0.0289732863723
3 1:16.3727021756 2:3.23498200837 3:0.804401011653 4:0.236504593031 5:0.643242267193 6:0.478856461131 7:0.279722740616 8:0.277998503513 9:0.0175066522282 10:0.0796900289867 11:-0.0440643469765 12:0.177010443628 13:0.154695736257 14:0.00225025569555 15:0.0950014210987 16:0.109094962319 17:-0.0137198633303
2 1:17.7696411372 2:8.5933907694 3:0.815933058182 4:0.407340831802 5:0.592680552083 6:0.400844051434 7:0.248410146268 8:0.193567580713 9:0.0755508766396 10:0.134824619455 11:0.049290200674 12:0.149190380779 13:0.118137453107 14:0.00219814516872 15:0.0877645051767 16:0.0862653634087 17:-0.000158379049722
2 1:25.1260695398 2:7.52688563238 3:0.748345387157 4:0.635430553607 5:1.67381316591 6:0.6597038229 7:0.33148418988 8:0.345543262483 9:0.0563763473069 10:0.174045299803 11:-0.0158161472969 12:0.435579054916 13:0.313580862241 14:-0.155599714685 15:0.147090170896 16:0.127801544665 17:0.0136401794027
