lowlevel.silence_rate_60dB.stdev,lowlevel.spectral_contrast_valleys.mean.0,lowlevel.spectral_contrast_valleys.stdev.2,lowlevel.spectral_contrast_valleys.stdev.3,lowlevel.spectral_contrast_valleys.stdev.4,lowlevel.spectral_contrast_valleys.stdev.5,lowlevel.spectral_flux.mean,lowlevel.gfcc.mean.0,lowlevel.spectral_rms.mean,metadata.audio_properties.replay_gain,class
0.326576889,-9.376251,1.2225369,1.3071438,1.4269689,1.4511062,0.012781968,-290.31357,0.000798,1.2076225,foreground
0,-8.73656,0.47254932,0.43257815,0.4296057,0.43463492,0.004477409,-327.50305,0.000216058,15.290829,foreground
0.435486615,-7.3684115,1.5898148,1.7908335,1.6467102,1.7335243,0.038176872,-223.95364,0.001561282,-9.164457,foreground
0,-8.891572,0.8569396,0.9083339,1.0052905,1.024495,0.006246665,-330.05057,0.000220382,9.470589,foreground
0,-6.821417,0.85550386,0.8979065,0.76393235,0.58154553,0.012498861,-292.15863,0.00045359,13.172852,foreground
0.305320293,-9.919652,0.37426493,0.54193866,0.61074674,0.6667445,0.021526612,-108.095566,0.002964354,-3.9211445,foreground
0,-7.921537,0.5624577,0.6658087,1.0463691,1.2069339,0.005354022,-295.4476,0.000336189,12.80476,foreground
0,-8.131486,0.79283553,0.8761362,0.97405785,1.0152856,0.00659749,-259.9788,0.00028058,13.514278,foreground
0.210010767,-8.059242,0.8812703,0.9369428,0.8057984,0.5739756,0.015871134,-188.72914,0.000688212,5.0373154,foreground
0,-8.270518,0.88394153,1.0782515,1.0629054,0.7458295,0.003817532,-394.31223,0.000159969,19.175907,foreground
0.49475202,-7.8564024,0.6468373,0.7677333,0.7013509,0.6461096,0.081410684,-186.37181,0.002682553,-5.3699646,foreground
0.197040707,-4.5999694,1.2202576,1.3479053,1.534903,1.7958502,0.119365893,-66.73826,0.005692482,-9.11861,foreground
0,-7.4911437,0.568705,0.53157026,0.6001886,0.6846083,0.012244708,-206.60303,0.000504142,11.977135,foreground
0,-8.049078,1.1747046,1.4050447,1.2694788,1.0555732,0.005957025,-350.52826,0.000249323,13.811829,foreground
0.405943334,-5.428629,0.6431835,0.71735626,0.9998566,1.1135813,0.039020058,-170.95131,0.00355969,-0.49037552,foreground
0,-9.467235,1.0257246,1.3309531,1.4665319,1.2012082,0.004131141,-451.0951,0.000122613,8.072639,foreground
0,-7.178993,0.91887563,0.87509274,0.83134127,0.55732656,0.008667677,-328.6495,0.000419405,12.536591,foreground
0.326576978,-7.551364,1.1440042,1.4160444,1.7012491,1.9865898,0.02244541,-210.4525,0.000893478,3.890133,foreground
0,-9.883143,0.36313522,0.33789402,0.5926885,0.31491753,0.000797924,-546.9679,3.57E-05,29.903831,background
